id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1,1001,2014-12-15,313,26,21,360,1561.87,194.74,170.52,1927.13
2,1001,2015-01-13,298,26,0,324,1487.02,194.74,0,1681.76
3,1001,2015-02-12,276,42,23,341,1377.24,314.58,186.76,1878.58
4,1001,2015-03-13,282,0,420,702,1407.18,0,3410.4,4817.58
5,1001,2015-04-12,726,17,0,743,3622.74,127.33,0,3750.07
6,1001,2015-05-12,307,49,28,384,1531.93,367.01,227.36,2126.3
7,1001,2015-06-11,310,32,24,366,1546.9,239.68,194.88,1981.46
8,1001,2015-07-10,280,37,18,335,1397.2,277.13,146.16,1820.49
9,1001,2015-08-08,287,39,17,343,1432.13,292.11,138.04,1862.28
10,1001,2015-09-07,289,20,25,334,1442.11,149.8,203,1794.91
11,1001,2015-11-02,33,0,9,42,164.67,0,73.08,237.75
12,1001,2015-12-01,173,47,0,220,863.27,352.03,0,1215.3
13,1001,2015-12-31,303,26,9,338,1511.97,194.74,73.08,1779.79
14,1001,2016-01-30,497,26,0,523,2480.03,194.74,0,2674.77
15,1001,2016-02-28,300,45,6,351,1497,337.05,48.72,1882.77
16,1001,2016-03-28,295,42,164,501,1472.05,314.58,1331.68,3118.31
17,1001,2016-04-27,290,29,6,325,1447.1,217.21,48.72,1713.03
18,1001,2016-05-26,305,34,0,339,1521.95,254.66,0,1776.61
19,1001,2016-06-25,290,2,19,311,1447.1,14.98,154.28,1616.36
20,1001,2016-07-24,122,43,20,185,608.78,322.07,162.4,1093.25
21,1001,2016-08-23,303,0,14,317,1511.97,0,113.68,1625.65
22,1001,2016-09-21,320,21,31,372,1596.8,157.29,251.72,2005.81
23,1001,2016-10-20,303,20,39,362,1511.97,149.8,316.68,1978.45
24,1001,2016-11-19,316,0,15,331,1576.84,0,121.8,1698.64
25,1001,2016-12-18,323,46,7,376,1611.77,344.54,56.84,2013.15
26,1011,2015-01-01,294,22,51,367,1467.06,164.78,414.12,2045.96
27,1011,2015-01-31,272,38,23,333,1357.28,284.62,186.76,1828.66
28,1011,2015-03-01,0,59,43,102,0,441.91,349.16,791.07
29,1011,2015-03-31,310,10,12,332,1546.9,74.9,97.44,1719.24
30,1011,2015-04-29,259,0,16,275,1292.41,0,129.92,1422.33
31,1011,2015-05-29,298,17,31,346,1487.02,127.33,251.72,1866.07
32,1011,2015-06-28,214,0,17,231,1067.86,0,138.04,1205.9
33,1011,2015-07-27,324,26,20,370,1616.76,194.74,162.4,1973.9
34,1011,2015-08-25,282,19,12,313,1407.18,142.31,97.44,1646.93
35,1011,2015-09-24,348,20,50,418,1736.52,149.8,406,2292.32
36,1011,2015-10-24,412,21,5,438,2055.88,157.29,40.6,2253.77
